import_root	path	sha256	bytes	standalone	target_volume	active_book_reference	identical_copy_count	integration_status
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/argand_plane.tex	88120bc88fe47f19ed6e4a1a4dcabac1437b39fa07e0821eef34010aeba4f545	451	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/complex_addition.tex	f1b9c14f375fd86c78a4573589af38beee23685ce2916bf2d66a22f655f3ba1c	455	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/complex_multiplication.tex	4e8bafd4885dffba24c5d236f29c8fd80a49c18f1b17b05fb627456a72089f26	425	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/cr_geometry.tex	22935709951847b8b8b6a0318cb361404158bdf14430e374d0b5be70a56c1d82	392	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/euler_rotation.tex	a0307a266b5df14c9283ac1529f77b9a7d7f13cb94a8ddf0d62c9c73c90df3dc	451	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/mobius_preview.tex	35eac6de11b3340f09e1b8f44e57a48fe42f9b9d15931e4b7f7b9496b3e0c6be	564	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/number_system_extension.tex	46cca416bf9612d4ca580e36dba94fd7ebc2806952dee9efcd6d2cf457e24d40	495	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/polar_coordinates.tex	9541a43ff73504cafb7a3e0d17a9c7a32f86c1d4754cdd18549f68dce5fc5b92	498	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/representation_map.tex	e163eeae1ba19939896705d334b129d36464912ae91ee814e8fab8c61dd5a00f	492	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/riemann_sphere_preview.tex	4c1b6f0a9ad5957d970ed81abd94bb2908134b4e69db3d8eb2891bd316b07af6	562	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/roots_of_unity.tex	936252fcfb10df3ab0f25cb43eac52d48753c4191a6000aecb5e76bdb658574c	376	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch05/square_mapping.tex	f497fa84bff30f378969b15a34360924c2c0ea64c70eabb95788f75771f4b9aa	597	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/common/chapter_figure_styles.tex	6009f10f666099931611aa441ecee8dd0ca4aaa786c4eb33f21ce41a1df4ba0c	1226	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/basis_vectors.tex	aedd906d5156305ef59c88fa128893ccacba25382f98bd6be444f443f6bbf3f8	465	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/cartesian_position_vector.tex	8df1df7a64844034c095f95d40db40b19d0f8ab2cc946bf9cd70dfc743ea7fd5	573	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/change_of_basis.tex	76872bc1a69a25b021309debea04583ddc66f4d0a2b4f300199682ad8d83d34f	736	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/coordinate_rotation.tex	1ec892a6ef832e9dcd6f41733d0332962bf6f4e91357d13c091b1ca86a6ca6ca	566	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/cross_product_orientation.tex	d95168240183722bb68dfee9cd32e127f47699ce68fb972ad2089e48825d2865	546	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/distance_between_points.tex	455e7332c36998f81ba60dd3c45a10f87da37008b4fb0db011144f6323c5426a	435	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/dot_product_angle.tex	2009c4f19c81702705736876710f037ddb892bc8b8433e43007e5436231afff5	613	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/eigenvectors.tex	d53e25c3b04178b994a5ea4e10317c903679eafc99a6fc7097059369d3048b69	589	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/function_vector_space.tex	1f703d8ba2171149878519012a5acdc2f85801d38a5c94e00db09602977ccad1	569	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/gram_schmidt.tex	82f1e3369606e18de09d74d1c90acae5efc19dec98be1225d42e5cdb3b5097de	614	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/hilbert_space_bridge.tex	10ad779d043e85c1ed0a584acd4d777b5a0852578fa66e3f9e05e250e42c5030	834	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/linear_independence.tex	fd1602c04651341f4b08cf1297065e178edc8c67fa954c84e5dec954ec770c52	599	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/linear_transformation.tex	85de1c38b27cbc98cdb5e5b03a8d9ec0e255ff0426d776756271f46e2e8e24d7	630	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/orthogonal_projection.tex	baa1a9375ae59cf69236ebb15ddc946206da8e64241067c07c5ce86c82446a18	561	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/parallelogram_area.tex	20e3c28268fce5cac667ae222d022c3bd97009afb21dc055681c4ccd03923ee1	535	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/right_hand_rule.tex	b4892ce4f20b47a5235535b1839550ff8a3e22f572f03969b6a29cf5f0ec05fd	471	no	UNMAPPED	no	18	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/scalar_multiplication.tex	83b505c00d6f2c0b6a9b2029fb2d8c19154aa365c2a108a0cbe09b43fff15895	352	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/span_plane.tex	5b76489ef1043dc8b2abc2593525cb33e411fd2cf0c001b80f587134c446740d	529	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/torque_lever_arm.tex	0a5f6fd7446d12f95e9ec8d41db81794677684c831ad07a9767b2d8650fe7682	516	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/unit_vector_geometry.tex	ba79fd637d78891dc05f6f87b211414fcd715fece0111c7c83500b0ef5ce8a32	497	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/vector_addition_head_to_tail.tex	84a190832c53d197a6bb8c26e645964c9e7eae87c4cdfac11fed90a30e5590ad	494	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/vector_components.tex	71f3206ee3b42c71efe8ff92fa08206ba178d3eb12e7f88f1b2c7eff49ec5797	731	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/vector_subtraction.tex	66223f6eb76c5094152d1f2148b8a14931a67e19dc0b538fca7c2bedd33455c3	418	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch01/work_interpretation.tex	ae09330ba5eb6a87bfece1aa4e01d4432fcb6c20abf587eca7e8aedd5998fc21	569	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch02/chain_rule_graph.tex	081fff95662b3e6d311e09c480ef96adc248dd235a7d66dd909341612290db1a	807	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch02/directional_derivative_geometry.tex	812e51777ca56e3f5de2ef674867e39bbddd970a57ff4465c364f217732688d9	589	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch02/epsilon_delta_limit.tex	ac6f2c50610b2aaaa075f6360f7778001032783efe580f6ee2278163b15e6fd0	816	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch02/function_mapping.tex	019a052d834054835d2ccb9bff1965135e151549f8e3bcb2fc5a5dffaa3b837a	618	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch02/gradient_flow.tex	316770073a5c6d189d142bd926972947d984f0e32683e39030fb43552829d54f	486	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch02/jacobian_area.tex	f9bce51bc915e8889873c33edbab4b9accc60742014edcf0a304dc753650638e	894	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch02/local_linearization.tex	8fcb6574de01c9fca80e956b0d3e50fe22de93341643ef4835b83fb4b497de78	636	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch02/total_differential_plane.tex	5cd36776cfb6b0992733a65f4436bfa6504b8938f2726d389d511070b6f13d5d	735	no	UNMAPPED	no	23	deduplicate-before-integration
