group_id,duplicate_type,sha256,structural_sha256,path,group_size,notes
exact-142,exact,2b010546843eef6ab76eebb16cd1ecdb074155b223f096bcf30cbca7bc4e0425,,chapters/tex/theory-of-differential-geometry-MATH3D--math-alls-3.tex,4,identical SHA256
exact-142,exact,2b010546843eef6ab76eebb16cd1ecdb074155b223f096bcf30cbca7bc4e0425,,chapters/tex/theory-of-differential-geometry-MATH3D.tex,4,identical SHA256
exact-142,exact,2b010546843eef6ab76eebb16cd1ecdb074155b223f096bcf30cbca7bc4e0425,,imports/COMPILE_READY/Downloads_theory-of-differential-geometry-MATH3D.tex,4,identical SHA256
exact-142,exact,2b010546843eef6ab76eebb16cd1ecdb074155b223f096bcf30cbca7bc4e0425,,imports/COMPILE_READY/MATH_ALLS-3_theory-of-differential-geometry-MATH3D.tex,4,identical SHA256
exact-143,exact,2b35184dee153e8dfc7eeddf3768281c3a1c94e548e32e566f60ff3dc046461f,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter01_vectors/fig04_spherical_coordinates.tex,2,identical SHA256
exact-143,exact,2b35184dee153e8dfc7eeddf3768281c3a1c94e548e32e566f60ff3dc046461f,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter01_vectors/fig04_spherical_coordinates.tex,2,identical SHA256
exact-144,exact,2b44990ffea316b582f76fe98d9eb538575f1982d03e5cd92cd3558541fdd047,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/styles/prbook05_visual_library.tex,2,identical SHA256
exact-144,exact,2b44990ffea316b582f76fe98d9eb538575f1982d03e5cd92cd3558541fdd047,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/styles/prbook05_visual_library.tex,2,identical SHA256
exact-145,exact,2b47ea6a1e8ea213fb25a6669016fcc38236f78b3689bb2ebe4245929628e07a,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/future_quantum/quantum_hall/fig02_gaas_algaas_2deg.tex,2,identical SHA256
exact-145,exact,2b47ea6a1e8ea213fb25a6669016fcc38236f78b3689bb2ebe4245929628e07a,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/future_quantum/quantum_hall/fig02_gaas_algaas_2deg.tex,2,identical SHA256
exact-146,exact,2b692aeece8740bb408130f7cc3e1077c93d411fff3d0a084fafb4fdfbb78f21,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/future_quantum/quantum_hall/fig15_anyons.tex,2,identical SHA256
exact-146,exact,2b692aeece8740bb408130f7cc3e1077c93d411fff3d0a084fafb4fdfbb78f21,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/future_quantum/quantum_hall/fig15_anyons.tex,2,identical SHA256
exact-147,exact,2b9fcaae38e3c6d46fdf21badb93a39fc58b75948c3f47e4fa1012c3b450b7ef,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/book/parts/part01_mathematical_foundations/chapter03_vector_calculus/sections/3_03_curl.tex,2,identical SHA256
exact-147,exact,2b9fcaae38e3c6d46fdf21badb93a39fc58b75948c3f47e4fa1012c3b450b7ef,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/book/parts/part01_mathematical_foundations/chapter03_vector_calculus/sections/3_03_curl.tex,2,identical SHA256
exact-148,exact,2bc042234cf34cb45b21308c0389869ac9c062e529bf7f482684a66f3c094bf1,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/future_quantum/electromagnetism/fig06_electromagnetic_wave.tex,2,identical SHA256
exact-148,exact,2bc042234cf34cb45b21308c0389869ac9c062e529bf7f482684a66f3c094bf1,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/future_quantum/electromagnetism/fig06_electromagnetic_wave.tex,2,identical SHA256
exact-149,exact,2bcbe56c2bca0ed722f54cf1f25b025cd464fa04283d95d0f367dc90b3dde28b,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/book/parts/part01_mathematical_foundations/chapter02_differential_calculus/sections/2_07_visual_synthesis.tex,2,identical SHA256
exact-149,exact,2bcbe56c2bca0ed722f54cf1f25b025cd464fa04283d95d0f367dc90b3dde28b,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/book/parts/part01_mathematical_foundations/chapter02_differential_calculus/sections/2_07_visual_synthesis.tex,2,identical SHA256
exact-150,exact,2bfc0a6dadec53b06d92bb90b76f0c1b8796042ac04f5c626c910879496f5d41,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter03_calculus/fig17_zero_divergence.tex,2,identical SHA256
exact-150,exact,2bfc0a6dadec53b06d92bb90b76f0c1b8796042ac04f5c626c910879496f5d41,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter03_calculus/fig17_zero_divergence.tex,2,identical SHA256
exact-151,exact,2c7d499dd5fb0e80805dd0160c33ac68d1bf34098b376ca9f473c2a2b5c3b0e9,,imports/ALL_TEX_AND_FIGURES/tex/Downloads/theory-of-complex-analysis-all-maps.tex,4,identical SHA256
exact-151,exact,2c7d499dd5fb0e80805dd0160c33ac68d1bf34098b376ca9f473c2a2b5c3b0e9,,imports/ALL_TEX_AND_FIGURES/tex/MATH-ALLS-2/theory-of-complex-analysis-all-maps.tex,4,identical SHA256
