"file"	"status"	"exit_code"	"pdf_path"	"error"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_span_plane.tex"	"fail"	"12"	""	"ex:2: Package pgfkeys Error: I do not know the key '/tikz/softblue' and I am go"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_torque_lever_arm.tex"	"fail"	"12"	""	"_arm.tex:2: Package pgfkeys Error: I do not know the key '/tikz/visualink' and"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_unit_vector_geometry.tex"	"fail"	"12"	""	"geometry.tex:2: Undefined control sequence."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_vector_addition_head_to_tail.tex"	"fail"	"12"	""	"ion_head_to_tail.tex:5: Package pgfkeys Error: I do not know the key '/tikz/phy"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_vector_components.tex"	"fail"	"12"	""	"nents.tex:2: Package pgfkeys Error: I do not know the key '/tikz/physics axis'"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_vector_subtraction.tex"	"fail"	"12"	""	"action.tex:3: Package pgfkeys Error: I do not know the key '/tikz/book vector'"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_work_interpretation.tex"	"fail"	"12"	""	"etation.tex:2: Package pgfkeys Error: I do not know the key '/tikz/book axis' a"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch02_chain_rule_graph.tex"	"fail"	"12"	""	"raph.tex:2: Package pgfkeys Error: I do not know the key '/tikz/concept node' a"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch02_directional_derivative_geometry.tex"	"fail"	"12"	""	"derivative_geometry.tex:6: Package pgfkeys Error: I do not know the key '/tikz/"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch02_epsilon_delta_limit.tex"	"fail"	"12"	""	"a_limit.tex:2: Package pgfkeys Error: I do not know the key '/tikz/physics axis"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch02_function_mapping.tex"	"fail"	"12"	""	"ping.tex:2: Package pgfkeys Error: I do not know the key '/tikz/concept node' a"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch02_gradient_flow.tex"	"fail"	"12"	""	"w.tex:2: Package xcolor Error: Undefined color `visualcyan'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch02_jacobian_area.tex"	"fail"	"12"	""	"a.tex:3: Package pgfkeys Error: I do not know the key '/tikz/visualgrid' and I"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch02_local_linearization.tex"	"fail"	"12"	""	"ization.tex:2: Package pgfkeys Error: I do not know the key '/tikz/physics axis"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch02_total_differential_plane.tex"	"fail"	"12"	""	"ential_plane.tex:3: Package xcolor Error: Undefined color `visualcyan'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch03_divergence_source_sink.tex"	"fail"	"12"	""	"ource_sink.tex:15: Package pgfkeys Error: I do not know the key '/tikz/field ve"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch03_gauss_volume.tex"	"fail"	"12"	""	".tex:2: Package xcolor Error: Undefined color `visualcyan'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch03_green_cells.tex"	"fail"	"12"	""	"tex:2: Package xcolor Error: Undefined color `visualcyan'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch03_laplacian_curvature.tex"	"fail"	"12"	""	"rvature.tex:2: Package pgfkeys Error: I do not know the key '/tikz/physics axis"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch03_stokes_orientation.tex"	"fail"	"12"	""	"tation.tex:2: Package xcolor Error: Undefined color `visualcyan'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch03_surface_flux.tex"	"fail"	"12"	""	".tex:2: Package xcolor Error: Undefined color `visualcyan'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch03_vector_calculus_architecture.tex"	"fail"	"12"	""	"lus_architecture.tex:3: Package xcolor Error: Undefined color `visualcyan'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch03_volume_elements.tex"	"fail"	"12"	""	"nts.tex:2: Package xcolor Error: Undefined color `visualcyan'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch04_coupled_modes.tex"	"fail"	"12"	""	"s.tex:4: Package xcolor Error: Undefined color `softblue'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch04_damping_regimes.tex"	"fail"	"12"	""	"mes.tex:4: Package pgfkeys Error: I do not know the key '/tikz/chapterblue' and"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch04_evolution_architecture.tex"	"fail"	"12"	""	"chitecture.tex:2: Package xcolor Error: Undefined color `softblue'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch04_harmonic_motion.tex"	"fail"	"12"	""	"ion.tex:4: Package pgfkeys Error: I do not know the key '/tikz/chapterblue' and"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch04_phase_portraits.tex"	"fail"	"12"	""	"its.tex:4: Package pgfkeys Error: I do not know the key '/tikz/chapterblue' and"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch04_pitchfork.tex"	"fail"	"12"	""	"x:4: Package pgfkeys Error: I do not know the key '/tikz/chapterblue' and I am"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch04_representation_map.tex"	"fail"	"12"	""	"on_map.tex:2: Package xcolor Error: Undefined color `softblue'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch04_slope_field.tex"	"fail"	"12"	""	"tex:5: Package pgfkeys Error: I do not know the key '/tikz/chapterblue' and I a"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_argand_plane.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_argand_plane\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_argand_plane-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_complex_addition.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_complex_addition\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_complex_addition-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_complex_multiplication.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_complex_multiplication\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_complex_multiplication-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_cr_geometry.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_cr_geometry\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_cr_geometry-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_euler_rotation.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_euler_rotation\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_euler_rotation-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_mobius_preview.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_mobius_preview\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_mobius_preview-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_number_system_extension.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_number_system_extension\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_number_system_extension-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_polar_coordinates.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_polar_coordinates\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_polar_coordinates-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_representation_map.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_representation_map\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_representation_map-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_riemann_sphere_preview.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_riemann_sphere_preview\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_riemann_sphere_preview-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_roots_of_unity.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_roots_of_unity\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch05_roots_of_unity-wrapper.pdf"	""
