chapter	ordinal	label	exercise_sha256	hint_sha256	solution_sha256	status
IV/02	19	exr:iv02-expand-11	d323965a9fba9ab2dcc176a8ede937d7cd086bb08c33786874bc062b10e24b5e	624dab2c854c531e39f13c768e0af7ef0479767597aefafd5af709ed4c3e2a35	b3f6bcb0d083b20098defa61178079776eb3fe5aae176a37c9030e361f3ba628	PASS
IV/02	20	exr:iv02-expand-12	ec33ffdf771c3e68a758a4e98d6df0b6664b433d5b717552666789280b11bb01	1c85e1452bd0f2a64d4ce49d761d0f2eeaee69f80fe3c156fb9740305f5ccebe	9de0e68e244005cec113ea070a54a26abf9a0521614f84acf5026415036bf8b2	PASS
IV/02	21	exr:iv02-expand-13	c583b937230aa8e2a5a2182f52daef7384339cce7ca3acb892b9ee16204c3ce2	1d5e74385cee48ec4412267356fc25ebc2ac0f22be8b1d4ca0ed3cf1f1ac2501	2f114c4c6a735513a55a3833fb084c8bef0870d43081823c8e73d029dfb1e662	PASS
IV/02	22	exr:iv02-expand-14	714fe5c3eb6f082283d5e47af1f14dc7e7d964ed0de08c2076297dc52d0a21a1	cf99da16e282d8844547013f55db14fafd7dafcdb8640988044b5070a8969006	04542e538546b12424d817b45a67a3c6b106907f39373ff8191a8eed1f91b609	PASS
IV/02	23	exr:iv02-expand-15	53bd23ad93deaf4da4f5f16505a6317455e75b799d414a876f187d2b97b6f634	26b72bd0861f8544a7b331c8f58a30cd79f54455d3d6d65e236ce07e60fd9d87	b9b37826c8a66fcca0bae5393e942b19adda6289609dfa07be32df64ee54e0c2	PASS
IV/02	24	exr:iv02-expand-16	1577aebdc29cad4deb5efc8d92b72c360c1a5f198a571785ce385ebe7013a937	4b298c8ac6bdbe80d57edcd7ebf525c47ba3235e4a96786105bb9f6abda698dc	0b6eebf04a34e0ee295d59fe71235320145ef4d414541394ff9a9e33394cee35	PASS
IV/03	1	exr:iv03-01	3ace7e4cf54bb20df2ea14b574aab38b778dc31313ab54259853ce473bb8e5b8	92ba66d911ccf4508d7806c76d60bbee62d75c6f779afe56510ecb7f6a89ab3e	eafe2bae8afd3e2eacf5e5def88806fd163e7179cefd77f2603683c16f35e934	PASS
IV/03	2	exr:iv03-02	d3a8610244b759dcfa0583f982ebe9f513d6ccd13590c22ec295b3e552431af9	62dfb1483a5de7abaf1a0546d13999f65812867c532205f42dbcea68312281fd	02be762d98dc2d31013a46d2c9bae3b9da131d0c6810305d1b354d07a37f1295	PASS
IV/03	3	exr:iv03-03	62d438f286ddffbabebe54cbd459da3e50a265d5b63c03a9e7109de609ae390b	3fff2c78523fc4b83b8c58fa07a5803ccd14debbd0c8a0f6d4881d33f124e509	b3c5f2beda5f1d0414e42a5476ed4c6750d58ce590daa324093a630cc1f8cb35	PASS
IV/03	4	exr:iv03-04	9d24b02c908d04dcebe5d1a38e70434a14db3fc3866855f2fbd0f52350145e94	5fdd45ce21eb1f2b2c0352efc9a2610682acdaa921005d781bc0f25a0cc80fa0	56c1984a2aafcc696fdbec4dbfe54a292a71a7ce710e9c8b22b409a3f909ae16	PASS
IV/03	5	exr:iv03-05	29ab54e47b837b221cc64733f1f6cf4dd961167094261caff33fdc719c968aaf	84d5a945c29b2aace41fca17fadf7627a37de2e2c094f02dc577be79b958f8d4	5a60a73b7e07ae6c4f0d9b04e7f35fad81a6ba160e0a2a046685bb8bfc1e2557	PASS
IV/03	6	exr:iv03-06	8814f27845bbe23ae6f07fca5bb09fe2a9d17ee0d08959cd73d17c5638cb1ca2	be8c26b5f89ee6404ab9de4d5212b2bc45f0382d506fdeb27dba1a15259baafa	0711db152b597bc863775c4967d022781627825ad49561be504249a5e8ce6578	PASS
IV/03	7	exr:iv03-07	853978bcca741eb6311b3a10868efba9aa7e73226720776db41ed75f98a69393	ed187539cc8f09468ae10abccdf9bacb7690a2915e16241a164eaa2854799e94	431c2c3234da3cfd328791ae9b709cb5997c71dcf465886befc77bbd6f1a0dde	PASS
IV/03	8	exr:iv03-08	fdd7092a50674425b091cc44f0b7656e98d07ccdb4168766f3a4c289b4277a07	da48e981203156914e12dfadb3c840f04c86b8799d71bbc521795fa4b6a691a7	8e571c7a69d2ff9275e71dc77732c06fb94c2d85699ff076a67e23ffcb23ca83	PASS
IV/03	9	exr:iv03-expand-01	d7f3feef7e87c09536aa3925c2913977f64d6604fa876809a476d674a8bca0bc	e846cbec78cd830465ec2e18a4b242775116d0b5406901c53a80be4587b869c6	e23194c6014425171607b5f0379027028df895b0b8a95aad7e1a2b572c5c8105	PASS
IV/03	10	exr:iv03-expand-02	09674b597b6fa90e82016adbc28442310f1854144a1960f3d4aae5fd6576a942	6589846693619d8550a9ee1e356998923ad3c49fa2c5a1f341a44c5576b4fd4c	760ff91193ccbda01364806303f754462aa84708cf347a44df2bd104c0cd72cc	PASS
IV/03	11	exr:iv03-expand-03	4853fc759c5d40424b51ceb4e596176f1034451213cbcb66a3e3882286647328	98b2cd8d3194d0686ed565cbf2b3858986f7adb4f7a08148442aac6dc98fce89	a23316f5fedf93d71bc85cd602113df672fd293eed7bbc653ca4bef2bfe0f8e2	PASS
IV/03	12	exr:iv03-expand-04	6f8c0da1262eec5b469a33e5bbc8532a03ec838624f0f570207137ff4ab280bc	aaa4120e61d3852594156585ae8e1738182b2870639c83509389d8342eb45141	3792bea1d17fd53464af1db98b6507069fd60dd8baf9aa8d38aa3a3d3b1127dc	PASS
IV/03	13	exr:iv03-expand-05	cf6419d5a70b27eae32270c58104e3accf2295664fac9df2482c77ce4fc318fe	6faa32059b4a66ee563de41c9961bfb4eae80da46b1be638eadd2a15c8304c3d	08e0d4306c22307fa4afd568fadb7b056c465e05100aebed37aafb2739c24db9	PASS
IV/03	14	exr:iv03-expand-06	ae9d4602518467d1d14ba38a2a4fcdbec8a0c6659f710e4630e351acdbf9ae48	fab4375e70078787377a65bcedfd521dfaf9eda607f7aaf206b6fd4074f1e386	a782243d38fc3334bc22ecdf3f736a971139aebeb8671dff808daed4a135d7d6	PASS
IV/03	15	exr:iv03-expand-07	e4885d147b7fcdc327dd07aefb324a193b7ebc5053cdf712b8dbfc109fc17ea7	8dd5f5dea79ab0684047ff9c197a830ef3550bcb99aeab5ca10ff5ca7c4bb536	2c99005c31874dd5f244a5328d6caac1c91493a4304337508e5cf473f9cf0b4e	PASS
IV/03	16	exr:iv03-expand-08	28e3a37217fb1c7e451e41ff023db40ac8db1186a5ab6ea95708f5a1a3a4001f	04006d5acc4626a7ce13605d02c9d220cd155e2c5f79ce91a14d98cfafdc96ae	766507b9b6033f5633635c8aff8be2fd91cc332482000bdb335c5364e3daf97f	PASS
IV/03	17	exr:iv03-expand-09	de8621a081c7d33d2a0e0b1e3252817cf13e3e29c5f2869d659daec028f026cb	76f5fef8e42eb82877fda58c551fcefd24e3dc66386a47a33e558507cea6a178	c612cdb15a126ab868b2e23bcc2b1e70abf7bef112a6fdbb06b07941dade8e56	PASS
IV/03	18	exr:iv03-expand-10	e164000486a17d3540ace12a6a81c5ddc807f130a2230b3cf0d6686db0f901b8	ac953409ef672c67149b8f842bc548e1b006eba50bf0e9d9c081a8d4d1f46e32	51a39a4096f4f557c80bb20d0a814fba6213de5be3257e97008c45a575102edd	PASS
